cluster_id,year,num_pixels,avg_temperature,max_temperature,min_temperature,centroid_lat,centroid_lon
1,2020,327,51.99306675568809,60.26585108000003,49.60162868000003,14.748550224383855,120.98728809102771
2,2020,61,51.28609617573772,54.007456460000014,49.61700977000001,14.748360671617482,121.00344429614128
3,2020,7301,51.175014539615134,56.65300394000002,49.59991967000002,14.709205666385007,120.98413553050639
4,2020,467,50.087902407580316,51.87632099000001,49.59991967000002,14.680616542388343,120.98846643474366
5,2020,25,64.64119012160002,67.88632667000002,62.05860257000003,14.685740909792077,121.00800591170108
1,2021,434,51.95097401207375,61.22289668000002,49.63922690000004,14.749669645317198,120.98801184762122
2,2021,104,51.40479855788464,55.40542664000003,49.65289898000003,14.747422623157334,121.00349115183603
3,2021,7631,51.10196656578956,58.06122818000006,49.63580888000001,14.708365852875124,120.98692138003167
4,2021,26,65.44375699307693,68.93394980000005,49.65973502000003,14.685827562666407,121.00789894308109
1,2022,5972,53.66578094734429,64.77763748000001,51.52939196,14.723052368330979,120.99135302178478
2,2022,133,53.693769601954905,57.53827111999999,51.52939196,14.747337402703616,121.00338284353649
3,2022,31,53.28592346387099,55.09096880000004,51.649022660000014,14.73725054000679,121.00222551364898
4,2022,32,52.414552326875025,54.10657904000004,51.53622800000005,14.710530369214998,120.9649184436771
5,2022,274,53.084453840219,57.821966780000025,51.52939196,14.704615995803795,121.01324858461193
6,2022,1216,52.70109258904607,57.37762418,51.52939196,14.695035317059283,120.97765782504925
7,2022,25,66.79057781840001,69.29625992000001,63.82400990000002,14.685740909792077,121.00800591170108
8,2022,486,52.26208604148151,54.041636659999995,51.53622800000005,14.675776242145016,120.98889923358159
1,2023,7724,49.232446675927,66.16877162000003,47.51663647999999,14.714895542998809,120.99765689815021
1,2024,6810,51.368339977101336,62.590104680000024,49.45807184,14.721675048688576,120.99649615016857
2,2024,119,50.4270374257143,51.94980842000001,49.45807184,14.718793265694462,120.97241206333369
3,2024,151,50.37330894370863,52.72228094000002,49.45807184,14.71807554832697,120.98132716138073
4,2024,366,50.483487178852485,53.41272098000002,49.46148986000003,14.697857680873883,120.96951154076967
5,2024,130,51.00835424969233,54.05530873999999,49.46148986000003,14.69487636162452,120.98326299191999
6,2024,451,49.85506235804879,51.96689852000003,49.45807184,14.684968494092168,120.99238101003142
7,2024,46,50.26041488260873,51.252532340000016,49.51617818,14.685035302664994,120.97762496690653
8,2024,40,50.27873844200002,51.34481888000005,49.47516194000002,14.684807111054235,120.96905855424279
1,2025,2190,54.73939344783564,65.09893136000005,52.469347459999994,14.737934553704836,120.99428730829818
2,2025,852,53.728430489295796,57.52118102000003,52.469347459999994,14.71208549847358,120.98170563147204
3,2025,3458,53.80047152763449,70.40369840000005,52.469347459999994,14.696342683377328,121.00494627062568
4,2025,1095,53.662770212986324,57.51434498000003,52.47276548000002,14.699562216473897,120.96752698821182
5,2025,208,53.746454480865395,56.36930828000004,52.48643756000001,14.68416265621435,120.9692251744527
6,2025,34,53.405281760000015,53.973276260000034,52.530871820000016,14.68493432835109,120.97783139562335
7,2025,99,53.04212475090911,54.40394678000001,52.47960152000002,14.67532219468351,120.98153642575596
